id,name,avg_user_rating,user_ratings_count,reviews_count,added,avg_playtime,esrb_rating,release_year,release_month,release_quarter,critic_rating,rating_gap,genre_count,is_action,is_adventure,is_arcade,is_board_games,is_card,is_casual,is_educational,is_family,is_fighting,is_indie,is_massively_multiplayer,is_platformer,is_puzzle,is_rpg,is_racing,is_shooter,is_simulation,is_sports,is_strategy,platform_type,platform_count,store_count
16373,Age of Wonders,3.24,63,63,905,1,,1999,11,4,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,pc_only,1,2
351436,Evan's Remains,3.5,21,24,904,2,,2020,6,2,,,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,multi_platform,6,7
244869,Visage,3.37,130,131,904,3,,2020,10,4,4.0,-0.6299999999999999,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,multi_platform,3,4
29051,Lost Odyssey,4.09,133,133,904,11,Teen,2007,12,4,3.9,0.18999999999999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,console_only,1,2
6315,Yesterday,3.41,65,66,904,4,Teen,2012,3,1,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pc_only,3,4
993875,Marvel Rivals,3.76,96,99,903,4,Teen,2024,12,4,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,3,4
966349,We Were Here Expeditions: The FriendShip,3.85,63,66,903,3,,2023,9,3,,,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,2,2
262465,Loria,2.09,11,11,903,1,,2018,11,4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,pc_only,3,2
62920,Mable & The Wood,2.04,23,23,903,1,Everyone,2019,9,3,,,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,5,4
28483,Ninja Gaiden II,4.02,131,133,903,0,Mature,2008,6,2,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,console_only,3,2
27312,"Pokémon X, Y",3.92,399,403,903,84,Everyone 10+,2013,10,4,4.4,-0.4800000000000004,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,console_only,1,1
19476,Call of Duty: United Offensive,4.07,254,258,903,4,Teen,2004,9,3,4.35,-0.27999999999999936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,pc_only,2,1
17372,Symphony,3.27,77,83,903,3,,2012,8,3,3.75,-0.48,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,pc_only,3,2
11473,H1Z1: Just Survive,2.46,96,98,903,12,,2015,1,1,,,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pc_only,1,1
17082,INK,2.84,51,51,902,3,Everyone,2015,8,3,3.4,-0.56,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,6,4
9726,WARMACHINE: Tactics,2.41,21,22,902,5,,2014,11,4,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,pc_only,2,1
2705,Action Henk,2.72,36,36,902,3,,2015,5,2,3.7,-0.98,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,multi_platform,5,3
2196,ADR1FT,3.33,89,89,902,1,,2016,3,1,3.2,0.1299999999999999,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,2,2
846499,Shatterline,3.36,27,28,901,2,,2022,9,3,,,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pc_only,1,1
484842,Milk inside a bag of milk inside a bag of milk,3.99,132,135,901,1,,2020,8,3,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pc_only,3,2
263537,Samsara Room,4.02,115,116,901,2,,2020,4,2,,,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pc_only,4,5
59094,Youropa,3.2,20,20,901,1,Everyone,2018,6,2,3.7,-0.5,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,2,1
49268,Amid Evil,4.01,71,72,901,2,,2019,6,2,4.25,-0.2400000000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pc_only,1,2
21113,Dead Pixels,2.95,63,63,901,3,,2012,12,4,,,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pc_only,1,1
586054,OlliOlli World,3.73,64,67,900,2,,2022,2,1,,,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,multi_platform,6,2
19455,Marc Ecko's Getting Up: Contents Under Pressure,4.12,180,182,900,1,Mature,2006,2,1,3.45,0.6699999999999999,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,3,1
4470,Jak II,4.09,217,219,900,0,Teen,2003,10,4,4.35,-0.2599999999999998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,console_only,4,1
297322,DISSIDIA FINAL FANTASY NT Free Edition,2.61,67,67,899,1,,2019,3,1,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pc_only,1,1
290894,Chernobylite,3.31,128,133,899,3,Teen,2021,7,3,3.65,-0.33999999999999986,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,multi_platform,6,6
257377,Boomerang Fu,3.85,26,26,899,3,,2020,8,3,,,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,multi_platform,3,2
42047,"Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness, Episode Four",2.57,23,23,899,3,,2013,6,2,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pc_only,1,1
27936,"Pokémon Gold, Silver",4.37,438,443,899,900,,1999,11,4,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,console_only,3,1
4511,Brothers in Arms: Hell's Highway,3.92,150,151,899,2,Mature,2008,9,3,3.95,-0.03000000000000025,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,4,5
18793,Tales of Monkey Island Complete Pack,3.62,46,47,898,2,,2009,7,3,3.95,-0.33000000000000007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pc_only,2,1
16120,Tiny Bridge: Ratventure,1.78,46,46,898,3,,2015,5,2,,,9,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,pc_only,2,1
13657,Event[0],3.64,73,74,898,3,,2016,9,3,3.75,-0.10999999999999988,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pc_only,2,2
5981,Gas Guzzlers Extreme,3.23,65,66,898,3,,2013,10,4,3.65,-0.41999999999999993,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,multi_platform,3,3
364812,Rock of Ages 3: Make & Break,3.29,33,35,897,3,Teen,2020,7,3,3.45,-0.16000000000000014,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,multi_platform,4,3
3323,GUNS UP!,2.6,70,70,897,1,Teen,2015,5,2,,,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,multi_platform,3,2
539,Dead Effect,2.82,59,61,897,5,Mature,2013,2,1,2.95,-0.13000000000000034,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pc_only,4,3
